anio_despacho,mes_despacho,producto,volumen_total
2023,01,BIODIESEL CON MEZCLA,136498882.94
2023,01,GASOLINA MOTOR CORRIENTE,192070906.27
2023,01,GASOLINA MOTOR EXTRA,3337096
2023,02,BIODIESEL CON MEZCLA,141279838.75
2023,02,GASOLINA MOTOR CORRIENTE,177924672.92
2023,02,GASOLINA MOTOR EXTRA,2922945
2023,03,BIODIESEL CON MEZCLA,152172394.43
2023,03,GASOLINA MOTOR CORRIENTE,198065185.85
2023,03,GASOLINA MOTOR EXTRA,3409937
2023,04,BIODIESEL CON MEZCLA,140651802.94
2023,04,GASOLINA MOTOR CORRIENTE,190222619.05
2023,04,GASOLINA MOTOR EXTRA,3107315
2023,05,BIODIESEL CON MEZCLA,152028506
2023,05,GASOLINA MOTOR CORRIENTE,198999972.49
2023,05,GASOLINA MOTOR EXTRA,3268627
2023,06,BIODIESEL CON MEZCLA,145186577.04
2023,06,GASOLINA MOTOR CORRIENTE,190686096.99
2023,06,GASOLINA MOTOR EXTRA,3415966.96
2023,07,BIODIESEL CON MEZCLA,147887741.58
2023,07,GASOLINA MOTOR CORRIENTE,194682258.98
2023,07,GASOLINA MOTOR EXTRA,3135475
2023,08,BIODIESEL CON MEZCLA,155297981.98
2023,08,GASOLINA MOTOR CORRIENTE,194909227.75
2023,08,GASOLINA MOTOR EXTRA,3561518.52
2023,09,BIODIESEL CON MEZCLA,154827074.43
2023,09,GASOLINA MOTOR CORRIENTE,187515190.44
2023,09,GASOLINA MOTOR EXTRA,3244854
2023,10,BIODIESEL CON MEZCLA,152092669.02
2023,10,GASOLINA MOTOR CORRIENTE,191476817.20
2023,10,GASOLINA MOTOR EXTRA,3413857
2023,11,BIODIESEL CON MEZCLA,150377221.98
2023,11,GASOLINA MOTOR CORRIENTE,182606582.11
2023,11,GASOLINA MOTOR EXTRA,3495574
2023,12,BIODIESEL CON MEZCLA,150652476.03
2023,12,GASOLINA MOTOR CORRIENTE,201757445.74
2023,12,GASOLINA MOTOR EXTRA,4208361
2024,01,BIODIESEL CON MEZCLA,143310972.60
2024,01,GASOLINA MOTOR CORRIENTE,183446001.47
2024,01,GASOLINA MOTOR EXTRA,3856121
2024,02,BIODIESEL CON MEZCLA,146486690.64
2024,02,GASOLINA MOTOR CORRIENTE,171246108.98
2024,02,GASOLINA MOTOR EXTRA,3633209
2024,03,BIODIESEL CON MEZCLA,143519174.23
2024,03,GASOLINA MOTOR CORRIENTE,177472732.02
2024,03,GASOLINA MOTOR EXTRA,3841710
2024,04,BIODIESEL CON MEZCLA,153269822.54
2024,04,GASOLINA MOTOR CORRIENTE,176755004.88
2024,04,GASOLINA MOTOR EXTRA,3924129
2024,05,BIODIESEL CON MEZCLA,149568647.37
2024,05,GASOLINA MOTOR CORRIENTE,179491163.34
2024,05,GASOLINA MOTOR EXTRA,3922009
2024,06,BIODIESEL CON MEZCLA,141886666
2024,06,GASOLINA MOTOR CORRIENTE,172909493.38
2024,06,GASOLINA MOTOR EXTRA,3924196
2024,07,BIODIESEL CON MEZCLA,156056197
2024,07,GASOLINA MOTOR CORRIENTE,180776637.36
2024,07,GASOLINA MOTOR EXTRA,4028023
2024,08,BIODIESEL CON MEZCLA,155603007.4
2024,08,GASOLINA MOTOR CORRIENTE,180368989.45
2024,08,GASOLINA MOTOR EXTRA,4340309
2024,09,BIODIESEL CON MEZCLA,146955452.87
2024,09,GASOLINA MOTOR CORRIENTE,173067004.56
2024,09,GASOLINA MOTOR EXTRA,4216802
2024,10,BIODIESEL CON MEZCLA,160559644
2024,10,GASOLINA MOTOR CORRIENTE,185252992.72
2024,10,GASOLINA MOTOR EXTRA,4600452
2024,11,BIODIESEL CON MEZCLA,160193954.25
2024,11,GASOLINA MOTOR CORRIENTE,178506284
2024,11,GASOLINA MOTOR EXTRA,4482137
2024,12,BIODIESEL CON MEZCLA,159554346.97
2024,12,GASOLINA MOTOR CORRIENTE,201915888
2024,12,GASOLINA MOTOR EXTRA,5479724
